,name,parroquia,concellu,province,key,time_signature
227,Muiñeira de Manuel Dopazo,,A Fonsagrada,Lugo,C major,6/8
228,Muiñeira,,A Fonsagrada,Lugo,C major,6/8
229,Muiñeira de Riomao,Riomao,A Veiga,Ourense,C major,6/8
230,Muiñeira de Riomao,Riomao,A Veiga,Ourense,C major,6/8
231,Muiñeira de Cangas,,Cangas,Pontevedra,C major,6/8
232,Muiñeira do Picato,O Picato,Outeiro de Rei,Lugo,C major,6/8
233,Muiñeira de Folgoso,,Folgoso do Courel,Lugo,a minor,6/8
234,Muiñeira de Ancadeira,,A Fonsagrada,Lugo,C major,6/8
235,Muiñeira do Hío,Hío,Cangas,Pontevedra,C major,6/8
236,Muiñeira de Tella,Os Teixois,Taramundi,Asturies,C major,6/8
237,Muiñeira de Pontesampaio,,Pontesampaio,Pontevedra,c minor,6/8
238,Muiñeira do Saviñao,Estromil,O Saviñao,Lugo,C major,6/8
239,Muiñeira das Nogais,,As Nogais,Lugo,C major,6/8
240,Carballesa de Melide,,Melide,A Coruña,C major,2/4
241,Redonda de Bande,,Bande,Ourense,C major,6/8
242,Redonda de Bande,,Bande,Ourense,C major,6/8
243,Ribeirana de Poio,,Poio,Pontevedra,C major,2/4
244,Ribeirana de Poio,,Poio,Pontevedra,C major,2/4
245,Muiñeira de Casamiro,Sambreixo,Parga,Lugo,C major,6/8
246,Muiñeira de Casamiro,Sambreixo,Parga,Lugo,C major,6/8
247,Carvalhesa,Moimenta de Vinhais,Bragança,Portugal,C major,2/4
248,Ribeirana de Ventosela,Ventosela do Gateiro,Ribadavia,Ourense,G major,6/8
249,Carballesa do Carballiño,,O Carballiño,Ourense,C major,2/4
250,Ribeirana de Villalba,,Villalba,Lugo,C major,6/8
251,Ribeirana de Pontevedra,,Pontevedra,Pontevedra,C major,6/8
252,Ribeirana de Pontevedra,,Pontevedra,Pontevedra,C major,6/8
253,Ribeirana de Pontevedra,,Pontevedra,Pontevedra,C major,6/8
254,Ribeirana de Redondela,,Redondela,Pontevedra,C major,6/8
255,Ribeirana de Pontevedra,,Pontevedra,Pontevedra,C major,6/8
256,Carballesa do Incio,,O Incio,Lugo,C major,2/4
257,Muiñeira de Vilarmide,Vilarmide,A Pontenova,Lugo,C major,6/8
258,Danza Anterga de Lugo,,Lugo,Lugo,C major,2/4
259,Carballesa do Incio,,O Incio,Lugo,C major,2/4
