,id,name,parroquia,concellu,province,key,time_signature,ratio_negras_corcheas
150,260,Muiñeira da Fonsagrada,,A Fonsagrada,Lugo,C major,6/8,0.08148148148148149
151,261,Muiñeira,Laroá,A Limia,Ourense,C major,6/8,0.352112676056338
152,263,Muiñeira de Cartelle,,Cartelle,Ourense,C major,6/8,0.32142857142857145
153,264,Muiñeira de Monforte,,Monforte de Lemos,Lugo,C major,6/8,0.3584905660377358
154,265,Maruxa,,Coruña,Coruña,C major,6/8,0.1958762886597938
155,269,Muineira de Garceiras,Garceiras,Melide,A Coruña,C major,6/8,0.09411764705882353
156,270,Muiñeira de Sexo,Sexo,,Pontevedra,d minor,6/8,0.3559322033898305
157,271,Muiñeira de Santa Maria de Oleiros,Santa Maria de Oleiros,Oleiros,A Coruña ,C major,6/8,0.27956989247311825
158,273,Muiñeira de Ourense,,Ourense,Ourense,C major,6/8,0.038461538461538464
159,274,Muiñeira de Mourente,Mourente,Pontevedra,Pontevedra,C major,6/8,0.44776119402985076
160,275,Muiñeira de Cangas,,Cangas,Pontevedra,C major,6/8,0.43333333333333335
161,276,Muiñeira de Cangas,,Cangas,Pontevedra,C major,6/8,0.17647058823529413
162,277,Muiñeira de Cangas,,Cangas,Pontevedra,C major,6/8,0.524390243902439
163,278,Muiñeira de Cangas,,Cangas,Pontevedra,C major,6/8,0.09433962264150944
164,280,Muiñeira de Poio,,Poio,Pontevedra,C major,6/8,0.21818181818181817
165,282,Muiñeira de Vilanova,,Vilanova,Pontevedra,C major,6/8,0.12121212121212122
166,284,Muiñeira do Morrazo,O Morrazo,,Pontevedra,C major,6/8,0.21212121212121213
167,285,Muiñeira de Muradelle,Muradelle,Chantada,Lugo,C major,6/8,0.18072289156626506
168,286,Muiñeira de Poio,,Poio,Pontevedra,C major,6/8,0.1590909090909091
169,287,Muiñeira de Negros,Negros,Redondela,Pontevedra,C major,6/8,0.34444444444444444
170,288,Muiñeira de Visma,,Visma,A Coruña,C major,6/8,0.16363636363636364
171,292,Muiñeira de Froxán,Froxán,Folgoso do Courel,Lugo,C major,6/8,0.0859375
172,293,Muiñeira de Froxán,Froxán,Folgoso do Courel,Lugo,C major,6/8,0.0962962962962963
173,294,Muiñeira de Froxán,Froxán,Folgoso do Courel,Lugo,C major,6/8,0.0859375
174,295,Muiñeira de Poio,Poio,Pontevedra,,C major,6/8,0.1111111111111111
175,296,Muiñeira de Poio,Poio,Pontevedra,,C major,6/8,0.125
176,297,Muiñeira de Poio,Poio,Pontevedra,,d minor,6/8,0.4166666666666667
177,298,Muiñeira de Poio,Poio,Pontevedra,,F major,6/8,0.125
178,299,Muiñeira de Poio,Poio,Pontevedra,,F major,6/8,0.18421052631578946
179,300,Muiñeira de Cesures,Cesures,Redondela,Pontevedra,C major,6/8,0.5087719298245614
180,303,Muiñeira de Poio,Poio,Pontevedra,,C major,6/8,0.2857142857142857
181,304,Muiñeira de Forcarei,,Forcarei,Pontevedra,C major,6/8,0.2236842105263158
182,305,Muiñeira do Morrazo,O Morrazo,,Pontevedra,F major,6/8,0.2345679012345679
183,306,Muiñeira de Poio,,Poio,Pontevedra,C major,6/8,0.2054794520547945
184,307,Muiñeira de Piornedo,Piornedo,Cervantes,Lugo,C major,6/8,0.22093023255813954
185,308,Muiñeira de Lougares,Lougares,Mondariz,Pontevedra,F major,6/8,0.14473684210526316
186,310,Muiñeira de Ponteareas,,Ponteareas,Pontevedra,C major,6/8,0.21686746987951808
187,312,Muiñeira do Chao,O Chao,O Barco de Valdeorras,Ourense,C major,6/8,0.14492753623188406
188,316,Muiñeira de Lugo,,Lugo,Lugo,C major,6/8,0.22580645161290322
189,317,Muiñeira do Molete,,,Pontevedra,C major,6/8,0.29850746268656714
190,318,Muiñeira do Molete,,,Pontevedra,C major,6/8,0.10638297872340426
191,320,Muiñeira do Morrazo,O Morrazo,,Pontevedra,C major,6/8,0.2916666666666667
192,321,Muiñeira do Morrazo,O Morrazo,,Pontevedra,C major,6/8,0.23809523809523808
193,322,Muiñeira do Morrazo,O Morrazo,,Pontevedra,C major,6/8,0.3013698630136986
194,323,Muiñeira de Oitavén,Oitavén,,Pontevedra,C major,6/8,0.6666666666666666
195,324,Muiñeira de Neaño,Neaño,Bergantiños,A Coruña,C major,6/8,0.08
196,325,Muiñeira de Laxe,Laxe,A Coruña,,C major,6/8,0.078125
197,326,Muiñeira de Fonmaior,,A Fonsagrada,Lugo,C major,6/8,0.19101123595505617
198,328,Muiñeira de Ibias,,Ibias,Asturies,F major,6/8,0.042682926829268296
199,329,Muiñeira de Ibias,,Ibias,Asturies,F major,6/8,0.05434782608695652
200,330,Muiñeira de Valdeferreiros,Valdeferreiros,Ibias,Asturies,C major,6/8,0.112
201,332,Muiñeira de Liñeiro,Liñeiro,Muxía,A Coruña,G major,6/8,0.1
202,335,Muiñeira,,Lugo,Lugo,C major,6/8,0.040983606557377046
203,336,Muiñeira,,Portomarín,Lugo,C major,6/8,0.12790697674418605
204,338,Muiñeira de Curuxeiras,Curuxeiras,Arzúa,A Coruña,C major,6/8,0.09322033898305085
205,339,Muiñeira de Curuxeiras,Curuxeiras,Arzúa,A Coruña,C major,6/8,0.10204081632653061
206,341,Muiñeira de Ramelle,Ramelle,Friol,Lugo,c minor,6/8,0.10869565217391304
207,343,Muiñeira de Lobios,Lobios,Muiños,Ourense,C major,6/8,0.2125
208,345,Mariñas de Betanzos,,Betanzos,A Coruña,C major,6/8,0.01639344262295082
209,346,Mariñas de Betanzos,,Betanzos,A Coruña,C major,6/8,0.03571428571428571
210,347,Muiñeira de Albarellos,Albarellos,Monterrei,Ourense,G major,6/8,0.15384615384615385
211,348,Muiñeira de Carelle,Carelle,Sobrado,A Coruña,a minor,9/8,0.26244343891402716
212,351,Muiñeira de Arantón,Arantón,Santa Comba,A Coruña,C major,6/8,0.025423728813559324
213,352,Muiñeira de Pradela,Pradela,Os Ancares,Lugo,C major,6/8,0.12949640287769784
214,354,Muiñeira,A Seara de Montes,Cartelle,Ourense,C major,6/8,0.2631578947368421
215,356,Muiñeira de Vilouchada,Vilouchada,Trazo,A Coruña,e minor,6/8,0.32142857142857145
216,357,Muiñeira de Señorans,Cereixo,A Estrada,Pontevedra,C major,6/8,0.13076923076923078
217,359,Muiñeira do Carballal,Carballal,Folgoso do Courel,Lugo,C major,6/8,0.11363636363636363
218,360,O Gaiteiro de Torbolosiño,Santa Eufemia,Folgoso do Courel,Lugo,C major,6/8,0.19402985074626866
219,362,Muiñeira de Parada de Achas,Parada de Achas,A Cañiza,Pontevedra ,c minor,6/8,0.1506849315068493
