id,name,key,time_signature,ratio_negras_corcheas,muiñeira_type,lat,lon,count_seventh,seventh_ratio,location,classification
273,Muiñeira de Ourense,C major,6/8,0.0384615384615384,C1,42.3436415,-7.8674242,0,0.0,"Ourense, Ourense",Not classified
274,Muiñeira de Mourente,C major,6/8,0.4477611940298507,C2,42.4390311,-8.6141785,4,0.0336134453781512,"Mourente, Pontevedra, Pontevedra",Rias Baixas
275,Muiñeira de Cangas,C major,6/8,0.4333333333333333,C2,42.2647235,-8.7796487,10,0.091743119266055,"Cangas, Pontevedra",Rias Baixas
276,Muiñeira de Cangas,C major,6/8,0.1764705882352941,C2,42.2647235,-8.7796487,3,0.0303030303030303,"Cangas, Pontevedra",Rias Baixas
277,Muiñeira de Cangas,C major,6/8,0.524390243902439,C1,42.2647235,-8.7796487,6,0.088235294117647,"Cangas, Pontevedra",Rias Baixas
278,Muiñeira de Cangas,C major,6/8,0.0943396226415094,C1,42.2647235,-8.7796487,12,0.1153846153846153,"Cangas, Pontevedra",Rias Baixas
280,Muiñeira de Poio,C major,6/8,0.2181818181818181,C1,42.4332306,-8.6590994,14,0.0939597315436241,"Poio, Pontevedra",Rias Baixas
282,Muiñeira de Vilanova,C major,6/8,0.1212121212121212,C2,42.592833,-8.1135799,10,0.1204819277108433,"Vilanova, Pontevedra",Not classified
284,Muiñeira do Morrazo,C major,6/8,0.2121212121212121,C2,42.6075172,-8.4714942,9,0.108433734939759,Pontevedra,Rias Baixas
285,Muiñeira de Muradelle,C major,6/8,0.180722891566265,C1,42.6371171,-7.8232962,8,0.0714285714285714,"Muradelle, Chantada, Lugo",Not classified
286,Muiñeira de Poio,C major,6/8,0.1590909090909091,C1,42.4332306,-8.6590994,6,0.0697674418604651,"Poio, Pontevedra",Rias Baixas
287,Muiñeira de Negros,C major,6/8,0.3444444444444444,C1,42.2598627,-8.6216602,9,0.0918367346938775,"Negros, Redondela, Pontevedra",Rias Baixas
288,Muiñeira de Visma,C major,6/8,0.1636363636363636,C2,43.3672536,-8.4359104,1,0.0091743119266055,"Visma, A Coruña",Not classified
292,Muiñeira de Froxán,C major,6/8,0.0859375,C1,42.5477754,-7.2518208,5,0.040983606557377,"Froxán, Folgoso do Courel, Lugo",Not classified
293,Muiñeira de Froxán,C major,6/8,0.0962962962962963,C1,42.5477754,-7.2518208,3,0.0222222222222222,"Froxán, Folgoso do Courel, Lugo",Not classified
294,Muiñeira de Froxán,C major,6/8,0.0859375,C1,42.5477754,-7.2518208,11,0.0769230769230769,"Froxán, Folgoso do Courel, Lugo",Not classified
295,Muiñeira de Poio,C major,6/8,0.1111111111111111,C1,42.4332306,-8.6590994,12,0.08,"Poio, Pontevedra",Rias Baixas
296,Muiñeira de Poio,C major,6/8,0.125,C1,42.4332306,-8.6590994,10,0.0699300699300699,"Poio, Pontevedra",Rias Baixas
297,Muiñeira de Poio,d minor,6/8,0.4166666666666667,C1,42.4332306,-8.6590994,6,0.0625,"Poio, Pontevedra",Rias Baixas
